num,codigo,titulo,descripcion,url_relativa,url_completa
202,PAISDEFAULTPAX,Default País da Agencia,"Parámetro para definir un país por defecto del pasajero, de igual manera si el país del viajero es diferente se puede cambiar, no es un parámetro restrictivo.",params/202_Default_País_da_Agencia.html,https://pacardenaz.github.io/parametros-manual/params/202_Default_País_da_Agencia.html
203,CIUDDEFAULTPAX,Default Ciudad de Agencia,"Parámetro para definir una ciudad por defecto del pasajero, de igual manera si la ciudad del viajero es diferente se puede cambiar, no es un parámetro restrictivo.",params/203_Default_Ciudad_de_Agencia.html,https://pacardenaz.github.io/parametros-manual/params/203_Default_Ciudad_de_Agencia.html
204,NACIDEFAULTPAX,Default Nacionalidade da Agencia,Default Nacionalidade da Agencia,params/204_Default_Nacionalidade_da_Agencia.html,https://pacardenaz.github.io/parametros-manual/params/204_Default_Nacionalidade_da_Agencia.html
205,REEMPLAZAREMAILPAXPOREMAILASESOR,Reemplazar E-Mail pasajero,Este parámetro permite cambiar el mail del pasajero por el del asesor de la agencia al momento de realizar una reserva en xnet.,params/205_Reemplazar_E-Mail_pasajero.html,https://pacardenaz.github.io/parametros-manual/params/205_Reemplazar_E-Mail_pasajero.html
206,PAISESCOMODESTINONACIONAL,Los países considerados como destino nacional,Los países considerados como destino nacional,params/206_Los_países_considerados_como_destino_nacional.html,https://pacardenaz.github.io/parametros-manual/params/206_Los_países_considerados_como_destino_nacional.html
207,ADICIONACODIGOEMISORCOMOREMARK,Adicionar codigo de emisor como remark,Adicionar codigo de emisor como remark,params/207_Adicionar_codigo_de_emisor_como_remark.html,https://pacardenaz.github.io/parametros-manual/params/207_Adicionar_codigo_de_emisor_como_remark.html
208,HORALIMITEEMISION,Hora límite de emisión por defecto HH:MM (Formato 24 Horas),Hora límite de emisión por defecto HH:MM (Formato 24 Horas),params/208_Hora_límite_de_emisión_por_defecto_HHMM_(Formato_24_Horas).html,https://pacardenaz.github.io/parametros-manual/params/208_Hora_límite_de_emisión_por_defecto_HHMM_(Formato_24_Horas).html
209,RECORDARULTIMACONSULTA,Recordar ultimos parametros consulta,Recordar ultimos parametros consulta,params/209_Recordar_ultimos_parametros_consulta.html,https://pacardenaz.github.io/parametros-manual/params/209_Recordar_ultimos_parametros_consulta.html
210,INCLUIRREGLASVUELOSETICKET,Incluir reglas de vuelos en Eticket,Incluir reglas de vuelos en Eticket,params/210_Incluir_reglas_de_vuelos_en_Eticket.html,https://pacardenaz.github.io/parametros-manual/params/210_Incluir_reglas_de_vuelos_en_Eticket.html
211,OBLIGANOMBRECONTACTORESERVA,Nombre de contacto obligatorio,Este campo obliga el ingreso del nombre del contacto en la reserva,params/211_Nombre_de_contacto_obligatorio.html,https://pacardenaz.github.io/parametros-manual/params/211_Nombre_de_contacto_obligatorio.html
212,ALTERAREMAILUSUARIO,Permitir cambio de email usuario,Permitir cambio de email usuario,params/212_Permitir_cambio_de_email_usuario.html,https://pacardenaz.github.io/parametros-manual/params/212_Permitir_cambio_de_email_usuario.html
213,REQUIERECPFPASAJERO,Identificación de usuario obligatorio,Identificación de usuario obligatorio,params/213_Identificación_de_usuario_obligatorio.html,https://pacardenaz.github.io/parametros-manual/params/213_Identificación_de_usuario_obligatorio.html
